pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s) cellid(db) sinr(db) rsrp(db)
1721035200709 1721035200734 25 328951.950000 3463470.570000 2.874339 10.060000 5C422503D 14 -86 
1721035200764 1721035200791 27 328951.470000 3463470.700000 2.874339 10.040000 5C422503D 14 -86 
1721035200818 1721035200838 20 328950.880000 3463470.840000 2.874339 10.020000 5C422503D 14 -86 
1721035200872 1721035200891 19 328950.390000 3463470.960000 2.874339 10.040000 5C422503D 14 -86 
1721035200926 1721035200941 15 328950.010000 3463471.060000 2.893756 9.980000 5C422503D 14 -86 
1721035200981 1721035200996 15 328949.320000 3463471.220000 2.893756 9.960000 5C422503D 14 -86 
1721035201040 1721035201056 16 328948.360000 3463471.440000 2.893756 9.920000 5C422503D 14 -86 
1721035201113 1721035201131 18 328948.170000 3463471.490000 2.893756 9.860000 5C422503D 14 -86 
1721035201167 1721035201181 14 328947.680000 3463471.580000 2.917100 9.860000 5C422503D 14 -86 
1721035201225 1721035201253 28 328947.390000 3463471.640000 2.917100 9.860000 5C422503D 14 -86 
1721035201279 1721035201301 22 328946.510000 3463471.820000 2.917100 9.860000 5C422503D 14 -86 
1721035201333 1721035201361 28 328946.030000 3463471.920000 2.937389 9.860000 5C422503D 14 -86 
1721035201388 1721035201408 20 328945.540000 3463472.020000 2.937389 9.860000 5C422503D 14 -86 
1721035201442 1721035201456 14 328944.960000 3463472.120000 2.937389 9.860000 5C422503D 14 -86 
1721035201497 1721035201515 18 328944.570000 3463472.190000 2.937389 9.840000 5C422503D 14 -86 
1721035201551 1721035201565 14 328943.990000 3463472.300000 2.959642 9.840000 5C422503D 14 -86 
1721035201605 1721035201620 15 328942.920000 3463472.470000 2.959642 9.820000 5C422503D 14 -86 
1721035201660 1721035201674 14 328942.430000 3463472.550000 2.959642 9.820000 5C422503D 14 -86 
1721035201714 1721035201728 14 328941.950000 3463472.620000 2.976223 9.780000 5C422503D 14 -86 
1721035201768 1721035201786 18 328941.650000 3463472.660000 2.976223 9.760000 5C422503D 14 -86 
1721035201822 1721035201835 13 328941.370000 3463472.710000 2.976223 9.720000 5C422503D 14 -86 
1721035201876 1721035201889 13 328940.590000 3463472.810000 2.976223 9.720000 5C422503D 14 -86 
1721035201931 1721035201946 15 328940.110000 3463472.880000 2.996512 9.700000 5C422503D 14 -86 
1721035201985 1721035202001 16 328939.630000 3463472.930000 2.996512 9.680000 5C422503D 14 -86 
1721035202039 1721035202056 17 328939.140000 3463473.000000 2.996512 9.680000 5C422503D 14 -86 
1721035202093 1721035202111 18 328938.570000 3463473.060000 2.996512 9.680000 5C422503D 14 -86 
1721035202148 1721035202161 13 328938.090000 3463473.110000 3.015929 9.700000 5C422503D 14 -86 
1721035202206 1721035202224 18 328937.410000 3463473.180000 3.015929 9.660000 5C422503D 14 -86 
1721035202259 1721035202273 14 328936.830000 3463473.250000 3.015929 9.700000 5C422503D 14 -86 
1721035202314 1721035202331 17 328936.350000 3463473.290000 3.039709 9.680000 5C422503D 14 -86 
1721035202368 1721035202383 15 328935.770000 3463473.330000 3.039709 9.680000 5C422503D 14 -86 
1721035202422 1721035202438 16 328935.280000 3463473.370000 3.039709 9.680000 5C422503D 14 -86 
1721035202477 1721035202491 14 328934.700000 3463473.430000 3.039709 9.680000 5C422503D 14 -86 
1721035202531 1721035202546 15 328934.320000 3463473.450000 3.059344 9.700000 5C422503D 14 -86 
1721035202586 1721035202601 15 328933.930000 3463473.470000 3.059344 9.700000 5C422503D 14 -86 
1721035202640 1721035202656 16 328933.260000 3463473.520000 3.059344 9.720000 5C422503D 14 -86 
1721035202694 1721035202711 17 328932.670000 3463473.550000 3.059344 9.740000 5C422503D 14 -86 
1721035202747 1721035202761 14 328932.280000 3463473.560000 3.075706 9.780000 5C422503D 14 -86 
1721035202802 1721035202816 14 328931.690000 3463473.590000 3.075706 9.800000 5C422503D 14 -86 
1721035202855 1721035202873 18 328931.580000 3463473.600000 3.075706 9.840000 5C422503D 14 -86 
1721035202910 1721035202931 21 328930.990000 3463473.620000 3.075706 9.860000 5C422503D 14 -86 
1721035202964 1721035202981 17 328930.300000 3463473.640000 3.103632 9.900000 5C422503D 14 -86 
1721035203018 1721035203033 15 328929.300000 3463473.660000 3.103632 9.920000 5C422503D 14 -86 
1721035203072 1721035203086 14 328929.000000 3463473.660000 3.103632 10.000000 5C422503D 14 -86 
1721035203127 1721035203141 14 328929.000000 3463473.660000 3.103632 10.000000 5C422503D 14 -86 
1721035203181 1721035203196 15 328927.690000 3463473.660000 3.122394 10.040000 5C422503D 14 -86 
1721035203235 1721035203248 13 328927.190000 3463473.660000 3.122394 10.060000 5C422503D 14 -86 
1721035203293 1721035203312 19 328926.680000 3463473.640000 3.122394 10.100000 5C422503D 14 -86 
1721035203347 1721035203361 14 328926.180000 3463473.630000 -3.136793 10.140000 5C422503D 14 -86 
1721035203401 1721035203416 15 328925.570000 3463473.620000 -3.136793 10.140000 5C422503D 14 -86 
1721035203456 1721035203471 15 328925.160000 3463473.600000 -3.136793 10.140000 5C422503D 14 -86 
1721035203510 1721035203526 16 328924.550000 3463473.570000 -3.110177 10.140000 5C422503D 14 -86 
1721035203565 1721035203584 19 328924.040000 3463473.540000 -3.110177 10.140000 5C422503D 14 -86 
1721035203619 1721035203636 17 328923.330000 3463473.500000 -3.110177 10.160000 5C422503D 14 -86 
1721035203673 1721035203690 17 328922.820000 3463473.460000 -3.110177 10.160000 5C422503D 14 -86 
1721035203728 1721035203743 15 328922.820000 3463473.460000 -3.110177 10.160000 5C422503D 14 -86 
1721035203782 1721035203796 14 328921.600000 3463473.360000 -3.082033 10.160000 5C422503D 14 -86 
1721035203837 1721035203850 13 328921.190000 3463473.320000 -3.082033 10.200000 5C422503D 14 -86 
1721035203891 1721035203911 20 328920.580000 3463473.260000 -3.082033 10.180000 5C422503D 14 -86 
