pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s) cellid(db) sinr(db) rsrp(db)
1721200104086 1721200104118 32 328985.250000 3463455.800000 2.553853 0.000000 5C4225714 6 -71 
1721200104141 1721200104164 23 328985.250000 3463455.800000 2.553853 0.000000 5C4225714 6 -71 
1721200104195 1721200104213 18 328985.250000 3463455.800000 2.553853 0.000000 5C4225714 6 -71 
1721200104250 1721200104266 16 328985.250000 3463455.790000 2.553853 0.000000 5C4225714 6 -71 
1721200104304 1721200104320 16 328985.250000 3463455.800000 2.553853 0.000000 5C4225714 6 -71 
1721200104358 1721200104375 17 328985.250000 3463455.800000 2.553853 0.000000 5C4225714 6 -71 
1721200104413 1721200104432 19 328985.250000 3463455.800000 2.553853 0.000000 5C4225714 6 -71 
1721200104467 1721200104483 16 328985.250000 3463455.790000 2.555817 0.000000 5C4225714 6 -71 
1721200104521 1721200104537 16 328985.250000 3463455.800000 2.555817 0.000000 5C4225714 6 -71 
1721200104575 1721200104592 17 328985.250000 3463455.800000 2.555817 0.000000 5C4225714 6 -71 
1721200104630 1721200104647 17 328985.250000 3463455.800000 2.555817 0.000000 5C4225714 6 -71 
1721200104684 1721200104701 17 328985.250000 3463455.800000 2.553635 0.000000 5C4225714 6 -71 
1721200104739 1721200104755 16 328985.250000 3463455.800000 2.553635 0.000000 5C4225714 6 -71 
1721200104793 1721200104809 16 328985.250000 3463455.800000 2.553635 0.000000 5C4225714 6 -71 
1721200104847 1721200104871 24 328985.250000 3463455.800000 2.554508 0.000000 5C4225714 6 -71 
1721200104908 1721200104927 19 328985.250000 3463455.800000 2.554508 0.000000 5C4225714 6 -71 
1721200104962 1721200104981 19 328985.250000 3463455.800000 2.554508 0.000000 5C4225714 6 -71 
1721200105018 1721200105035 17 328985.250000 3463455.800000 2.554508 0.000000 5C4225714 6 -71 
1721200105072 1721200105091 19 328985.250000 3463455.790000 2.552326 0.000000 5C4225714 6 -71 
1721200105127 1721200105142 15 328985.250000 3463455.800000 2.552326 0.000000 5C4225714 6 -71 
1721200105181 1721200105198 17 328985.250000 3463455.800000 2.552326 0.000000 5C4225714 6 -71 
1721200105236 1721200105258 22 328985.250000 3463455.790000 2.552326 0.000000 5C4225714 6 -71 
1721200105291 1721200105309 18 328985.250000 3463455.800000 2.551453 0.000000 5C4225714 6 -71 
1721200105345 1721200105363 18 328985.250000 3463455.800000 2.551453 0.000000 5C4225714 6 -71 
1721200105400 1721200105423 23 328985.250000 3463455.800000 2.551453 0.000000 5C4225714 6 -71 
1721200105455 1721200105472 17 328985.250000 3463455.790000 2.552544 0.000000 5C4225714 6 -71 
1721200105509 1721200105525 16 328985.250000 3463455.800000 2.552544 0.000000 5C4225714 6 -71 
1721200105564 1721200105586 22 328985.250000 3463455.800000 2.552544 0.000000 5C4225714 6 -71 
1721200105619 1721200105636 17 328985.250000 3463455.790000 2.552544 0.000000 5C4225714 6 -71 
1721200105673 1721200105691 18 328985.250000 3463455.800000 2.552544 0.000000 5C4225714 6 -71 
1721200105727 1721200105747 20 328985.250000 3463455.800000 2.552544 0.000000 5C4225714 6 -71 
1721200105782 1721200105801 19 328985.250000 3463455.800000 2.552544 0.000000 5C4225714 6 -71 
