pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s) cellid(db) sinr(db) rsrp(db)
1721032372703 1721032372729 26 328977.510000 3463460.160000 2.607522 6.340000 5C422503D 15 -98 
1721032372758 1721032372779 21 328977.230000 3463460.340000 2.607522 6.420000 5C422503D 15 -98 
1721032372813 1721032372829 16 328976.900000 3463460.530000 2.607522 6.460000 5C422503D 15 -98 
1721032372868 1721032372884 16 328976.730000 3463460.630000 2.607522 6.520000 5C422503D 15 -98 
1721032372923 1721032372937 14 328976.340000 3463460.880000 2.610794 6.520000 5C422503D 15 -98 
1721032372978 1721032372994 16 328976.050000 3463461.050000 2.610794 6.560000 5C422503D 15 -98 
1721032373033 1721032373049 16 328975.540000 3463461.350000 2.616249 6.600000 5C422503D 15 -98 
1721032373087 1721032373102 15 328975.310000 3463461.500000 2.616249 6.600000 5C422503D 15 -98 
1721032373142 1721032373157 15 328974.970000 3463461.690000 2.616249 6.600000 5C422503D 15 -98 
1721032373197 1721032373212 15 328974.620000 3463461.900000 2.616249 6.600000 5C422503D 15 -98 
1721032373252 1721032373266 14 328974.340000 3463462.070000 2.619085 6.600000 5C422503D 15 -98 
1721032373306 1721032373319 13 328974.060000 3463462.240000 2.619085 6.600000 5C422503D 15 -98 
1721032373361 1721032373373 12 328973.710000 3463462.430000 2.619085 6.600000 5C422503D 15 -98 
1721032373415 1721032373438 23 328973.430000 3463462.600000 2.619085 6.600000 5C422503D 15 -98 
1721032373470 1721032373488 18 328973.140000 3463462.760000 2.625630 6.580000 5C422503D 15 -98 
1721032373525 1721032373548 23 328972.860000 3463462.930000 2.625630 6.540000 5C422503D 15 -98 
1721032373582 1721032373597 15 328972.620000 3463463.060000 2.625630 6.540000 5C422503D 15 -98 
1721032373636 1721032373654 18 328972.230000 3463463.290000 2.625630 6.540000 5C422503D 15 -98 
1721032373691 1721032373708 17 328971.770000 3463463.540000 2.632611 6.520000 5C422503D 15 -98 
1721032373745 1721032373759 14 328971.770000 3463463.540000 2.632611 6.520000 5C422503D 15 -98 
1721032373801 1721032373814 13 328971.210000 3463463.860000 2.632611 6.440000 5C422503D 15 -98 
1721032373855 1721032373868 13 328970.920000 3463464.020000 2.639810 6.420000 5C422503D 15 -98 
1721032373911 1721032373928 17 328970.640000 3463464.170000 2.639810 6.360000 5C422503D 15 -98 
1721032373965 1721032373982 17 328970.360000 3463464.320000 2.639810 6.340000 5C422503D 15 -98 
1721032374020 1721032374034 14 328970.020000 3463464.500000 2.639810 6.340000 5C422503D 15 -98 
1721032374075 1721032374088 13 328969.690000 3463464.680000 2.648101 6.300000 5C422503D 15 -98 
1721032374129 1721032374144 15 328969.410000 3463464.830000 2.648101 6.260000 5C422503D 15 -98 
1721032374184 1721032374198 14 328969.130000 3463464.980000 2.648101 6.240000 5C422503D 15 -98 
1721032374239 1721032374254 15 328968.800000 3463465.160000 2.648101 6.180000 5C422503D 15 -98 
1721032374294 1721032374317 23 328968.370000 3463465.390000 2.655955 6.160000 5C422503D 15 -98 
1721032374349 1721032374363 14 328968.090000 3463465.530000 2.655955 6.140000 5C422503D 15 -98 
1721032374404 1721032374419 15 328967.820000 3463465.680000 2.655955 6.100000 5C422503D 15 -98 
1721032374459 1721032374473 14 328967.720000 3463465.720000 2.655955 6.080000 5C422503D 15 -98 
1721032374513 1721032374526 13 328967.280000 3463465.950000 2.665990 6.040000 5C422503D 15 -98 
1721032374568 1721032374584 16 328967.180000 3463466.000000 2.665990 6.000000 5C422503D 15 -98 
1721032374623 1721032374638 15 328966.800000 3463466.190000 2.665990 5.980000 5C422503D 15 -98 
1721032374678 1721032374691 13 328966.360000 3463466.410000 2.675590 5.940000 5C422503D 15 -98 
1721032374732 1721032374752 20 328966.160000 3463466.510000 2.675590 5.920000 5C422503D 15 -98 
1721032374791 1721032374807 16 328965.680000 3463466.740000 2.675590 5.880000 5C422503D 15 -98 
1721032374846 1721032374864 18 328965.420000 3463466.870000 2.685625 5.840000 5C422503D 15 -98 
1721032374901 1721032374922 21 328965.420000 3463466.870000 2.685625 5.840000 5C422503D 15 -98 
1721032374958 1721032374974 16 328964.830000 3463467.150000 2.685625 5.760000 5C422503D 15 -98 
1721032375023 1721032375045 22 328964.790000 3463467.180000 2.685625 5.740000 5C422503D 15 -98 
1721032375079 1721032375093 14 328964.270000 3463467.420000 2.695007 5.740000 5C422503D 15 -98 
1721032375133 1721032375150 17 328964.160000 3463467.470000 2.695007 5.700000 5C422503D 15 -98 
1721032375188 1721032375204 16 328963.750000 3463467.660000 2.695007 5.660000 5C422503D 15 -98 
1721032375244 1721032375258 14 328963.600000 3463467.730000 2.695007 5.640000 5C422503D 15 -98 
1721032375299 1721032375316 17 328963.340000 3463467.850000 2.704388 5.600000 5C422503D 15 -98 
1721032375354 1721032375370 16 328962.770000 3463468.100000 2.704388 5.560000 5C422503D 15 -98 
1721032375409 1721032375427 18 328962.620000 3463468.170000 2.704388 5.540000 5C422503D 15 -98 
1721032375464 1721032375478 14 328962.270000 3463468.330000 2.717478 5.500000 5C422503D 15 -98 
1721032375520 1721032375533 13 328961.960000 3463468.460000 2.717478 5.500000 5C422503D 15 -98 
1721032375576 1721032375594 18 328961.720000 3463468.560000 2.717478 5.460000 5C422503D 15 -98 
1721032375631 1721032375654 23 328961.460000 3463468.680000 2.717478 5.420000 5C422503D 15 -98 
